service_id,service_name,provider_name,service_description,description_spanish,address,phone,other_contact,link
3,St. Michael and All Angles,St. Michael and All Angles,"Groceries and ready-to-eat meals every Month on the 3rd Saturday at 3:00pm
Open to anyone in need, all ages 
","Comestibles y comidas preparadas todos los meses el 3er sábado a las 15:00. Abierto a cualquier persona necesitada, todas las edades","8501 New Hampshire Ave Adelphi, MD 20783",240-882-0274,,https://www.foodhelpline.org/directory/resources/cle82frab048c0d02hv47zhzq
10,Federal Food Benefit Matching,Crossroads Farmers Market,"Since 2007, our fresh checks program doubles the dollar amount of purchases using 
federal food benefits such as WIC, snap and senior nutritional benefits.","Desde 2007, nuestro programa de cheques frescos duplica el importe en dólares de las compras que utilizan prestaciones alimentarias federales como WIC, snap y prestaciones nutricionales para mayores.","Main Office: 6930 Carroll Avenue
Suite 426 Takoma Park, MD 20912",301-615-3806,,https://www.crossroadscommunityfoodnetwork.org/
11,"Partnership for Prescription 
Assistance Program",Professional Prescription Advice,"The Partnership for Prescription Assistance Program helps qualifying patients without 
prescription drug coverage get the medicines they need through the program that is 
right for them. Many will get their medications free or nearly free.",El Programa de Asistencia para Medicamentos Recetadas ayuda a pacientes que califican y que no tienen cobertura de medicamentos con receta a obtener los medicamentos que necesitan a través del programa que les convenga. Muchos recibirán sus medicamentos de forma gratuita o casi gratis.,,"888-477-2669
",,https://www.pparx.org/
50,Anti-Trafficking,University of Maryland SAFE Center,"Case management, Behavioral health, Legal, Economic empowerment","Community Crisis Services, Inc. Coordina las colocaciones de refugio a Condado de Prince George. Los refugios están disponibles para hombres, mujeres y niños. Nuestro programa ayuda a las personas y familias a identificar otros recursos para ayudarles a permanecer en su situación de vida actual antes de que se conviertan en personas sin hogar.","Mailing:
PO Box 923
College Park, MD 20741","301-314-7233
",,"https://umdsafecenter.org/refer-a-client/ "
4,Grace United Methodist Church,Grace United Methodist Church,"Open to Maryland residents 10:00 am–1:00 pm every month on the 1st Saturday
","Abierto para los residentes de Maryland, de 10.00 a 13.00 horas, el primer sábado de cada mes.","7001 New Hampshire Ave Takoma Park, MD 20912",240-450-2092,,https://www.foodhelpline.org/directory/resources/cle82f9q703c10d02uhq3clq8
12,Langley Park Walk In Medical,N/A,Affordable walk in medical clinic,"Langley Park Walk In Medical es una clínica médica de acceso directo y asequible dedicada a proporcionar servicios de atención médica accesibles a individuos y familias en la comunidad. Sin necesidad de cita previa, los pacientes pueden recibir atención médica rápida a tarifas razonables. Nuestra clínica se esfuerza por garantizar que la atención médica de calidad esté al alcance de todos, independientemente de las limitaciones financieras, lo que nos convierte en un recurso confiable para soluciones de atención médica asequibles.","1040 University Blvd E, Silver Spring, MD 20903",301-445-7026,,
13,"LA CLINICA DEL PUEBLO - 
HYATTSVILLE SITE","La Clínica del Pueblo ","Since 1983, La Clínica del Pueblo has been addressing the distinct health 
needs of our community through comprehensive primary medical care with 
wrap-around services across the life spectrum; mental health and substance use 
treatment; medical interpretation and language access advocacy; community health 
including health education and safe spaces; and advocacy strategies to increase 
inclusion and health equity for Latino immigrants.

","Desde 1983, La Clínica del Pueblo ha estado abordando las distintas necesidades de salud de nuestra comunidad a través de una atención médica primaria integral con servicios complementarios en todo el espectro de la vida; tratamiento de salud mental y uso de sustancias; interpretación médica y promoción del acceso al idioma; salud comunitaria, incluida la educación sobre salud y espacios seguros; y estrategias de defensa para aumentar la inclusión y la equidad en salud para los inmigrantes latinos.",,240-714-5247,,https://www.lcdp.org/
8,Compassion Centers,Lutheran Mission Society Compassion Place,"Free food to meet basic nutritional needs and clothing for all ages
Covers residents of Hytattsville, MD
","Alimentos gratuitos para cubrir las necesidades nutricionales básicas y ropa para todas las edades. Cubre a los residentes de Hytattsville, MD","3799 East-West Highway Hyattsville, MD 20782",301-277-2303,,"https://www.findhelp.org/lutheran-mission-society-compassion-place--hyattsville
-md--compassion-centers/5843683812048896?postal=20783"
9,Food Pantry,Church of the Living God,"Food to meet basic nutritional needs
Anyone can access this program (residents of Hyattsville, MD)
Documents Required: Identification and Valid photo ID","Alimentos para cubrir las necesidades nutricionales básicas. Cualquier persona puede acceder a este programa (residentes de Hyattsville, MD). Documentos requeridos: Identificación con foto válida","1417 Chillum Road Hyattsville, MD 20782",301-559-8893,,"https://www.findhelp.org/provider/church-of-the-living-god--hyattsville-md/
6193409609170944?postal=20783"
0,Clifton Park Baptist Church,Clifton Park Baptist Church (CLIF),"Food is available once a month, recipents must pre-qualified and registered by 
contacting the church office","La comida está disponible una vez al mes, los beneficiarios deben pre-calificado y registrado poniéndose en contacto con la oficina de la iglesia","8818 Piney Branch Road Clifton Park Village, MD 20903",301-434-2456,https://www.cliftonparkbaptistchurch.org/copy-of-discipleship,https://www.foodhelpline.org/directory/resources/clhl31yc601v9mb0hi6zhrtsw
